user,pool,block,position,lpvalue
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3505008,1,22.95
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3548208,2,45.8997
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3591408,4,46.8757
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3591408,4,9.9846
0x57ba5a3fc1b5a680fb161c463d961df23470c4e8,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3591408,4,3.9907
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3634608,5,46.8762
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3634608,5,9.9846
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3634608,5,23.2264
0x57ba5a3fc1b5a680fb161c463d961df23470c4e8,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3634608,5,3.8401
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,20.7107
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,9.9846
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,23.4722
0x57ba5a3fc1b5a680fb161c463d961df23470c4e8,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,3.8739
0x7b042c22a39c651fb6e516928cd5f5179cd9d4db,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,99.2951
0xb4fb31e7b1471a8e52dd1e962a281a732ead59c1,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,49997.8265
0xfe4a7cb9c11f090b74811e8620f15cdf806b647b,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,147.836
0x45cc2088e22fa1196d1fbfdbe3e539c76dc0bf22,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,47.3234
0xb62f80b005049725ff707174a6ffa7b4103fb434,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,847.3854
0x3874bbdd9fc44d10f2ff715c64f6f959ecd43adc,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,10.4
0x218ed937cc38974818a8cfdb7aaef3c8150f71db,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,20.6873
0x4ec744f218397f315ee4ab53a49d3d33019bfd05,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,937.772
0x7a722003727a5cba44e55d724e0f61f30e7dbbec,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,110.8146
0xedf2cfd0a8da2891ea0f2b187eba298a366a100d,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,235.2324
0xf5064c2db58dec7214a3eae11d6b12057e26794c,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,47.9951
0x6cba6df97ef219d358e5fa858e0f4c384cb8c242,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,0.02
0xcfdec61763b26684ce66b4bbd29f6feb575bf09a,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,9.8545
0x56ebc608fd6b8f8cef2775a3ee0dddaec01a7000,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,114.0023
0x4c2d848796722c2c471b44b1a290b1125e1da259,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,67.1528
0xc76f91038c23ceeadecaac473c1ac5168e100567,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,10.0107
0xc9bd6f0529c442c83a4d2f07d06880f9e1eb0dbc,0xdcdf4d52c56b73ee395acc60b1f2bc3f016bf8c5,3677808,98,53.0095
0xd83e5a175c8d70c9c46f2b423760fac21eaf3fc0,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,5.0254
0x264f9f8a7a8376c393805b109508f20f382da52f,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,50.0036
0xd7a6223a189c3910112cc82dfbe1d695c5224331,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,40.0029
0xd9aee33795f242a12bb9e687e1533f44ac5bb11c,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,0.002
0xebc2896633ec40eb08c6d640d29a59073e75e4e4,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,9.546
0x0d327122aa540349b9ce2dfdc321b4c654ab510a,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,22.2438
0x364e2aea672a791eb516999f16f510b92699a98c,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,84.2348
0x43601fa8a032974a0f558f5bd3afe6865ae13a76,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,1201.1995
0xad63e4d4be2229b080d20311c1402a2e45cf7e75,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,226.5908
0x632213218cf26dab255f5acd45dc530995a019dd,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,199.7247
0x4044ee44f26c501849087b5849d65a6d835e282f,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,9.8395
0xb238855898ed8678a74d1f4a0b75be8f8beb3890,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,44.2626
0xf26f650ebc7d43c778a30a181340b87513c68c08,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,0.491
0xf26f650ebc7d43c778a30a181340b87513c68c08,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,0.5768
0xf8501791e6bda4babc96cc360287fe3fe7f4b268,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,23.9951
0x4c2a11f6668d2140880d456db89c15a2308c5bb3,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,8.4468
0xb3623d62ff30fadb5b2e127c07cab0d1b0808276,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,159.854
0x789bb3ee653baedc5dd5f504793e8b77f683e520,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,0.9958
0x186c5c2fe198f53092867e70c529d1895289fb48,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,25.0569
0x3176941056d50917293d6167885bc0b55fbf6ba0,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,0.4533
0x83fcb5916a5a6c1291451379c10fadc69941aa14,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,206.0668
0x56f3187e5d6260b60a931cce1cd1ff668b1ef9ed,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,49.9735
0x21a13927506594d206ca03726c9277e0fed0fe19,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,11.9143
0x21a13927506594d206ca03726c9277e0fed0fe19,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,10.2665
0xb0dccbb9c4a65a94a41a0165aaea79c8b2fc54ce,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,0.0004
0xd44aa3e301b5bb1a5c6775f3ee5a045f1f8bdb58,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,2.7286
0xf1281366308e2df4217c67745a49c13f46fd9e97,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,0.3258
0xf1281366308e2df4217c67745a49c13f46fd9e97,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,0.2951
0xa0bdbdaa8b3a7088452d09e3d94408067e97ee9a,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,20.9831
0xebd6637b1271f1806f0fcc9adfe0b58ef8fe36ed,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,110.5764
0xa2a4993100ff1cc33beb83006812d4cc3736aafe,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,0.6
0xe47bd059d18e8e2b1b242a66136cb09476577695,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,11.4261
0x6e222fe250cc5b1c4641b8902b3e2cf545949172,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,14.2755
0xbe0030b71e9eded2b417f2a459c0ce24a4e8089a,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,1452.4342
0x0ceaffb2698b4d33998ba3fcdd324e88969c33fd,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,0.06
0x68ddabc3727bc1fe606423bc82a425ba5d21c83d,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,4.8537
0x0d488b64db271709ebbcfb9baa243c726752a15f,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,5.7941
0xebea63f22998d2dcc433435cd74e3d8555b6e0a7,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,48.2063
0x995e52731c4edb8959949b17f9b8300ad6eb6170,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,0.0042
0xa695482722c05d8424e7f34bc49ab9ac32fd156a,0xdcdf4d52c56b73ee395acc60b1f2bc3f016bf8c5,3677808,98,11.2121
0x4da792b5058f59162e1b619749a0ce4e984d4841,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,184.0753
0xa601b8e67677f540aeb65c47229a8ecba7e5b984,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,4.4965
0xb73eee6812909f13b4fcca8e59ee24e9c3ad1f3e,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,137.5382
0xad2a9112ec74b0a97b8d9048dd8078c6d1122ac8,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,6.6458
0x1c566b46bc00e51f06572cc0ccda2f3f76f7275f,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,24.1094
0x68c289db6bae01180f2c760873f928cad64a1104,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,9.9082
0xfc7e9c20d1788e5e1df5a575b8be94fdbef84240,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,4.9254
0x1377c6dbb7f35766e5243464c17e5223817eecac,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,23.9723
0x043951150857e82d8f59bcabf1cf4ef99fb9ae03,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,54.8643
0x48f19a709e5de7297ff514d7d4115e579d946015,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,10.0002
0x997266fc6c0013242a0b312e99f5ee84a3b4c062,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,0.0415
0x9945daf5dcd39c9a3556d27c16af343765e5630c,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,169.2347
0x303c3d4393293e10db2b153a9c7ef8fc5aaf226f,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,84.4408
0xa3c19b3962eb47be3f72a755171f0a56724ead54,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,7.5203
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,1912.3779
0xc2ef1173a4b051bbcc4474c407bbb2ac7e02e363,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,46.3556
0x7a932fd74df3d48286062f011d7d3d90f3caf221,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,6.7827
0x99c903d2eee2519cf8ce31fb1f9b91edb54ccbd0,0xdcdf4d52c56b73ee395acc60b1f2bc3f016bf8c5,3677808,98,7.1618
0x7fc99522b9af80a0b2493a81583a9cf089c89f5a,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,0
0x7d0aec54391a10aa16d9b93490723fbe94ea4b8f,0xdcdf4d52c56b73ee395acc60b1f2bc3f016bf8c5,3677808,98,0.8106
0x2e54cf4ee5d9c7b8d0da68f9a9e862322e61f18a,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,20.1599
0x4bc17ef750faf30643a1d17e31d35ded59ec086f,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,0.0633
0x8e4fec38926d4c053feb98cce4560debd1d2b6da,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,100.9219
0xee4feb0ef72581c1c405520b175befa44e0e35fa,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3677808,98,23.8027
0xeefa41fe64f28526123a92afe87827b6f6f4c2a6,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,34.4724
0x937891c0bf2046ad1574f7b7d8b7be7918f4f35d,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,732.6036
0x937891c0bf2046ad1574f7b7d8b7be7918f4f35d,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,621.4677
0xdf1ca8a26b733b31f4fbabb8633eb863532c9722,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3677808,98,3.9959
0x01183258a0eb15d60424dd362e3497e13f4d2d49,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,16.9128
0x4046497e5fd150c6270a2252dcf5256e3bd96c8e,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,99.4846
0xfb4b266fc8a66f0463410665fce6ca997b63c14f,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,5.2752
0x3f91b9b2323692b67713caed37b87be6a9d96912,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,1.716
0x37f4d11be5536a30c64305e81e324ee2bbe176a5,0x954c92a1bc0b62e18eb8f04862ab8160a4c0ebf4,3677808,98,45.4744
0x2f28264d435b75f284c670eda10eb2491fe6b4b0,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3677808,98,22.3146
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,21.2291
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,15.9828
0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3721008,569,23.8989
0x57ba5a3fc1b5a680fb161c463d961df23470c4e8,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,3.9759
0x7b042c22a39c651fb6e516928cd5f5179cd9d4db,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,101.616
0xb4fb31e7b1471a8e52dd1e962a281a732ead59c1,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,50009.7177
0xfe4a7cb9c11f090b74811e8620f15cdf806b647b,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,147.836
0x45cc2088e22fa1196d1fbfdbe3e539c76dc0bf22,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,48.5635
0xb62f80b005049725ff707174a6ffa7b4103fb434,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,872.2268
0x218ed937cc38974818a8cfdb7aaef3c8150f71db,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,21.2444
0x4ec744f218397f315ee4ab53a49d3d33019bfd05,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,963.4151
0x4ec744f218397f315ee4ab53a49d3d33019bfd05,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,14.7134
